faster-rcnn-pc-1920x1080,faster-rcnn-pc-1280x720,faster-rcnn-pc-720x480,yolov8n-pc-1920x1080,yolov8n-pc-1280x720,yolov8n-pc-720x480,yolov5-1920x1080,yolov5-1280x720,yolov5-720x480,yolov8n-1920x1080,yolov8n-1280x720,yolov8n-720x480,yolov8n-gray-1920x1080,yolov8n-gray-1280x720,yolov8n-gray-720x480,yolov8n-sparsified-1920x1080,yolov8n-sparsified-1280x720,yolov8n-sparsified-720x480
0.123399258,0.481313467,0.141702175,0.015924454,1.25783062,0.120289564,1.515305519,1.410978317,1.608000994,0.924595356,0.924978971,1.068444252,1.354577541,1.353405476,1.551080704,0.515351295,0.495444059,0.889854431
0.132720232,0.165672064,0.123412371,0.001184702,0.009847879,0.015639544,1.436607122,1.47568512,1.558456421,0.867581129,0.860142469,0.974781275,0.839181423,0.756058216,0.978872776,0.393809319,0.389907598,0.383607864
0.127664328,0.12856102,0.114845276,0.01683569,0.015007734,0.015614986,1.43336463,1.363329887,1.536360264,0.908893585,0.894195318,1.008161068,0.826619387,0.817745447,0.943681955,0.391019821,0.388875008,0.384153843
0.132686615,0.124802589,0.135720015,0.014960527,0,0.003607273,1.430553436,1.384749413,1.541109324,0.924453497,0.85581708,1.072166681,0.835981131,0.880541086,0.983042717,0.39557147,0.397265911,0.392075062
0.132929802,0.133019209,0.124548674,0.010109663,0.0223248,0,1.45249486,1.365458727,1.562673569,0.93133378,0.879464626,1.035316706,0.817447901,0.801226377,0.959193468,0.385962725,0.388760328,0.384529829
0.131769657,0.118993282,0.118210793,0.012221575,0.01244545,0.022761345,1.434843063,1.366701603,1.565087795,0.848009825,0.835566998,0.957817554,0.778557539,0.782791376,0.977041483,0.38758564,0.395858288,0.388928652
0.127568722,0.130516052,0.115772724,0,0.004999876,0.010453939,1.423905611,1.370862007,1.538121223,0.856393337,0.821936846,0.983913422,0.82388711,0.79499507,0.962283611,0.387263775,0.387789726,0.395966768
0.125416994,0.131865978,0.134877682,0.015680552,0,0.001978397,1.437339783,1.342726469,1.570646048,0.865830898,0.873859406,0.985144377,0.826323748,0.850925922,0.972187519,0.401744366,0.397680998,0.39477849
0.124894857,0.132979155,0.125846386,0.011123657,0.015630245,0,1.431890011,1.29954505,1.537983656,0.901012182,0.898814201,1.002648592,0.802774191,0.79971981,0.965438843,0.38116622,0.385508537,0.381849289
0.134083748,0.129032373,0.12569356,0.004508495,0,0.015761375,1.434045792,1.377292871,1.531794071,0.869505644,0.881306887,1.016328812,0.785030365,0.83536005,1.012034893,0.392041206,0.385190487,0.382538557
0.127562284,0.126386166,0.123916388,0,0.014146328,0,1.434634447,1.360510349,1.549569845,0.856088638,0.880427361,0.934684992,0.819094896,0.837622643,1.023364305,0.392998457,0.384313345,0.383418798
0.132599354,0.131283522,0.126634121,0.015633345,0.007500172,0.015612364,1.406474829,1.374875546,1.533227682,0.852390289,0.868115664,0.959464312,0.81751895,0.813729048,0.982969046,0.405501842,0.398453474,0.393941402
0.13015604,0.125191212,0.120132446,0,0.009160519,0.01562953,1.444098711,1.345642328,1.525864601,0.847355127,0.810968637,1.025559902,0.836652517,0.785807371,1.010820389,0.391151905,0.38526988,0.383996964
0.128805399,0.127843857,0.125815392,0.025758266,0.002575636,0.017046928,1.422170877,1.360414028,1.551949263,0.878142834,0.995389462,1.013825655,0.835483074,0.807955027,0.983679533,0.386864185,0.386917353,0.383243561
0.124096632,0.129224777,0.133889675,0.011300325,0,0.009532452,1.447638988,1.374748707,1.527404308,0.900438786,0.877078533,1.01219964,0.828199387,0.794875383,0.972253084,0.386997223,0.385752678,0.382642508
0.131791115,0.117755651,0.12664628,0.001090527,0.022069216,0.008231401,1.405282021,1.351370811,1.529828072,0.919501305,0.900627851,1.012079,0.799432039,0.791525364,1.007430553,0.396631718,0.400879383,0.392081499
0.133505106,0.127378941,0.11716342,0.015736103,0.007493496,0.003101349,1.476915359,1.37272191,1.531541348,0.802411556,0.888116837,1.055916309,0.833128452,0.787647963,0.970259905,0.386540413,0.387143373,0.382673502
0.136989117,0.138452768,0.127884388,0,0.006286383,0,1.426931143,1.302663326,1.535816193,0.872592211,0.910992861,0.97815156,0.817671299,0.77992177,0.971384525,0.386457205,0.396781206,0.383714676
0.124950647,0.125852585,0.126382113,0.015625,0.006017923,0.015725136,2.136045694,1.380237103,1.532456636,0.871370077,0.827148914,1.019613743,0.838428974,0.754634142,1.041933537,0.387699366,0.383791924,0.38549304
0.125775099,0.126281023,0.123110771,0.016223431,0,0,1.59465766,1.319854021,1.537923336,0.803512573,0.847357035,1.006440639,0.864081621,0.788106918,0.980672598,0.39693141,0.391991377,0.40700984
0.133856773,0.125735283,0.131396294,0,0.016249895,0.015629292,1.439544201,1.368725061,1.544693232,0.853717566,0.843577385,0.959915161,0.872091055,0.858359098,0.954913378,0.394017458,0.384430408,0.384428263
0.130681992,0.12514472,0.129735708,0.01573348,0,0.015644073,1.423116446,1.357558727,1.53278923,0.845003128,0.811767817,1.007872581,0.838220835,0.779019117,1.010354042,0.377772331,0.38497901,0.381495714
0.131770372,0.130828619,0.125108242,0.016193867,0.015502691,0.015622377,1.486399412,1.339837551,1.536759853,0.912077904,0.834264278,1.009123564,0.804877043,0.79150486,1.041100979,0.395511389,0.385204554,0.386076927
0.129235506,0.1218009,0.127810478,0.006108999,0,0,1.440487146,1.364657402,1.552678108,0.887109756,0.883920193,0.965150118,0.836815357,0.838882208,1.037458897,0.388223171,0.389884472,0.390362978
0.132588863,0.132588863,0.127408504,0.01115489,0.010505438,0.017394543,1.41858983,1.370140076,1.537261486,0.910624027,0.878868103,0.966430664,0.845217228,0.877725601,0.927932739,0.38653183,0.385119915,0.383226156
0.123585701,0.11811018,0.110989332,0.006193876,0.005504608,0.011639833,1.460337639,1.351374149,1.526976585,0.814792395,0.867417097,0.979342461,0.844416857,0.820307493,1.038475752,0.388004303,0.383141518,0.385991335
0.128143787,0.121422291,0.136105299,0,0,0.008362532,1.424049616,1.364374161,1.526036978,0.909537792,0.905801058,0.971854448,0.861937284,0.788309097,0.999177694,0.39622426,0.398225546,0.391793013
0.132589817,0.129868746,0.126847982,0.017444372,0.015630722,0.003109694,1.425263405,1.397324085,1.517553091,0.862516403,0.901605368,0.999668837,0.783696175,0.77151227,1.007427216,0.386322975,0.386691093,0.385514259
0.12150526,0.133965254,0.122983456,0,0,0.017959595,1.409232378,1.345165253,1.508529425,0.83924675,0.818834066,0.968342304,0.831502199,0.791508675,1.019515514,0.386731148,0.38370204,0.385425568
0.133322954,0.121148586,0.120059729,0.021717787,0,0.005859375,1.380353928,1.332536697,1.535779715,0.89815259,0.853358269,0.981622696,0.841812134,0.807355165,1.04008007,0.387447119,0.384444475,0.387553215
0.139646769,0.133047104,0.124017477,0.009438038,0.021263599,0,1.427681208,1.350291491,1.536401272,0.898587942,0.85256362,0.987380743,0.828170538,0.819594145,1.038063288,0.396744967,0.392912149,0.400036335
0.120947123,0.130749702,0.132212639,0,0.007251501,0.01511097,1.439976215,1.358914137,1.536459684,0.803242445,0.919177055,0.995527267,0.786878824,0.798323631,0.995011091,0.387977839,0.399106979,0.387148142
0.132956028,0.118421555,0.121921778,0.015111685,0.007084131,0,1.420913935,1.339768171,1.544463396,0.859469414,0.872410536,1.031995296,0.804971933,0.775351763,1.007434607,0.387077808,0.384847164,0.385434628
0.121803761,0.124242306,0.136421919,0,0.005000114,0.015735388,1.4009552,1.344902277,1.529090405,0.806037188,0.801614046,1.040440083,0.809966803,0.788235188,0.999375343,0.387702227,0.384375572,0.400998354
0.136501074,0.126944304,0.126685381,0.021900654,0,0.018485069,1.433663845,1.346928596,1.538187742,0.888979197,0.819250107,0.945669889,0.779598236,0.787169933,0.951261759,0.410795927,0.391943216,0.39821744
0.127854824,0.136269569,0.118766308,0.010218382,0.015631437,0.008256674,1.41716218,1.656737089,1.551106453,0.881771564,0.907225609,0.988940954,0.799756765,0.750931978,1.000751019,0.386257648,0.394590855,0.382984877
0.125572443,0.131789923,0.130420446,0.007388115,0,0.003192902,1.414242744,1.348765373,1.532670259,0.83521533,0.807662964,0.954151154,0.827106714,0.787047863,1.263464689,0.39098835,0.384083271,0.383670092
0.141277075,0.114262342,0.115514994,0.015730381,0,0,1.495680332,1.352039337,1.613828182,0.885617733,0.828521252,0.940185547,0.823171854,0.787405729,1.113208771,0.387246132,0.385126352,0.381994963
0.12645793,0.134333372,0.131836176,0,0.02263236,0.022389412,2.244450569,1.348867416,1.547225714,0.903437376,0.915547609,0.96841383,0.810582399,0.833261967,1.023955345,0.396675825,0.393236399,0.396559238
