faster-rcnn-pc-pic1,faster-rcnn-pc-pic2,faster-rcnn-pc-1000-pic3,yolov8n-pc-pic1,yolov8n-pc-pic2,yolov8n-pc-pic3,yolov5-pic1,yolov5-pic2,yolov5-pic3,yolov8n-pic1,yolov8n-pic2,yolov8n-pic3,yolov8n-gray-pic1,yolov8n-gray-pic2,yolov8n-gray-pic3,yolov8n-sparsified-pic1,yolov8n-sparsified-pic2,yolov8n-sparsified-pic3
2.90013051,1.651137114,1.489873409,1.708710194,1.211659193,1.199337482,1.47462225,1.777299404,1.62122345,3.100904703,6.396748066,6.521086931,6.692901611,13.72787905,6.671677828,0.664476395,0.409113169,0.401022434
3.034615755,2.276511669,2.303170443,0.012205362,0.015629053,0,1.402336121,1.734863281,1.50466013,0.91140914,1.144049406,0.97715354,0.825117111,0.992422581,0.889897346,0.416543484,0.37765646,0.37367034
2.789978743,2.163263083,2.190220594,0.019981384,0,0.015629053,1.425670862,1.677006721,1.822396278,0.99319458,1.060074329,1.024484873,0.879344463,0.983346939,0.945229292,0.383929729,0.388741732,0.378803253
2.72729826,2.180505037,2.454226494,0.013271332,0.017693758,0,1.413620949,1.666141748,2.064908981,0.894892693,1.058765173,0.985922337,0.835362673,0.942754745,0.937069178,0.381137133,0.38187027,0.391580105
2.71758461,2.085526705,2.221726656,0.015153885,0.008577824,0,1.401176691,1.648736238,1.700637579,0.934620857,1.068073034,0.977548599,0.839086056,0.956156254,0.887120247,0.388667822,0.387622356,0.38817215
2.621267796,2.146559954,2.711087227,0.01243782,0.006228685,0.020010471,1.443923473,1.673512697,1.797834873,0.912548304,1.064104319,0.978623867,0.861706734,0.947371006,0.907440662,0.373088121,0.383437872,0.405298233
2.669874668,2.078869343,2.359578133,0.015677214,0,0.004999161,1.423424482,1.632778168,1.483291626,0.98840785,1.030173302,0.975781679,0.857112408,0.98353672,0.923736811,0.38602519,0.392825127,0.383528233
2.650718451,2.139489889,2.480676174,0.014136553,0,0.004565477,1.417375803,1.635386467,1.781193972,0.874056339,1.050296545,1.008183241,0.819144249,1.00261426,0.895278931,0.391533613,0.383479357,0.389399052
2.685315609,2.055273533,2.343873262,0.011922836,0.021727085,0.012237787,1.396676779,1.727062702,1.853466272,0.889431238,1.042061567,1.001957417,0.876174212,0.950948477,0.898816586,0.388142824,0.383777142,0.382166147
2.587233543,2.159019947,2.439804554,0.015621185,0.004038334,0.006000519,1.430937767,1.715498686,1.951759338,0.926904917,1.078421831,0.979429483,0.825988293,0.947249889,0.887278557,0.383969784,0.383104324,0.392436981
2.779564142,2.077061176,2.393629074,0.014135361,0.010349274,0,1.418471098,1.6547997,1.625500917,0.889088392,1.078598738,0.999194145,0.822880268,0.971447229,0.931249619,0.387205601,0.396339417,0.381033659
2.932350874,2.201415539,2.251727104,0.01320982,0.006386518,0,1.400107622,1.746102095,1.632030249,0.986598015,1.085578442,0.919636488,0.845095396,0.955204487,0.919282436,0.391855478,0.379954338,0.388520241
2.77946496,2.169300556,2.244107723,0.013973713,0.006010294,0.015667915,1.453497648,1.834193468,1.50409174,0.914888144,1.403475046,0.939466715,0.901489973,0.932075024,0.895620823,0.384483814,0.381819487,0.380075455
2.632908583,2.487679482,2.409652233,0.010214806,0,0.016456127,1.391373158,1.800347805,1.499697924,0.843644142,1.121093988,0.976992369,0.87579155,0.954598904,0.898987532,0.394791603,0.381469011,0.380316734
2.734749317,2.225759029,2.19109273,0.018550634,0,0,1.388463974,1.678184032,1.514084101,0.903681517,1.019881725,0.976643324,0.831579447,0.931363583,0.932255507,0.474636793,0.388807297,0.382617474
2.686874866,2.170944452,2.275770426,0.011806488,0.015649557,0.015889406,1.389754772,1.65619874,1.484205723,0.888060331,1.05506587,0.967934132,0.848049641,0.941045761,0.949745178,0.401708841,0.385345936,0.38723731
2.742046356,2.234636307,2.186938763,0.019276619,0,0,1.438341141,1.690596581,1.483856916,0.875189304,1.070528269,0.945564032,0.769351482,0.945450783,0.933163643,0.382463455,0.381295681,0.379044771
2.648971081,2.120701551,2.223609924,0.011934042,0.015610456,0.015661478,1.391922951,2.195981026,1.473550797,0.895181894,1.107563496,0.964663267,0.819082975,0.97555995,0.941569805,0.391154051,0.382325649,0.381381035
2.648397446,2.089878798,2.189865589,0.017004013,0,0,1.394145727,1.937302589,1.486465454,0.91106081,1.077508688,0.968384743,0.822979212,1.019861937,0.899302006,0.380742788,0.392596245,0.411774874
2.736969471,2.133024693,2.223829269,0.012808084,0.021721363,0.016638994,1.472636223,1.649416208,1.491143703,0.874367952,1.074948788,0.950310469,0.808238745,1.099322557,0.883598089,0.391781569,0.384927511,0.395866632
2.645186663,2.089885473,2.209017754,0.016470432,0.007884026,0.004963636,1.450244427,1.661537886,1.48251152,0.933412313,1.041348219,0.982663155,0.86241293,0.978723526,0.931010723,0.379954815,0.382919788,0.399029016
